pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election,R_seats,D_seats,Other_seats,winner_party,R_majorvote_pct,D_majorvote_pct,president_party,H_incumbent_party,H_incumbent_party_winner,H_incumbent_party_majorvote_pct,rdi,rdi_change,rdi_change_pct,midterm_year,poll_margin,D_votemargin,poll_vote_diff
Cook Political Report/RT Strategies,1764,NA,49,35,9,21,2006,9,24,45.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,-5.090000000000003
NBC News/Wall Street Journal,1006,NA,52,37,10,13,2006,10,16,23.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-2.0900000000000034
USA Today/Gallup,827.2069702,NA,54,41,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-0.09000000000000341
Newsweek,1205,NA,53,35,10,5,2006,10,6,32.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,-1.0900000000000034
NBC News/Wall Street Journal,1006,NA,48,39,9,30,2006,10,2,37,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
CNN,636,NA,57,40,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,17,8.180000000000007,2.9099999999999966
Cook Political Report/RT Strategies,807,NA,61,35,10,26,2006,10,29,10.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,26,8.180000000000007,6.909999999999997
Newsweek,838,NA,54,38,11,2,2006,11,3,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,-0.09000000000000341
CNN,934,NA,54,38,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,16,8.180000000000007,-0.09000000000000341
Cook Political Report/RT Strategies,1764,NA,48,35,9,27,2006,9,30,39.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-6.090000000000003
ABC News/Washington Post,1205,NA,55,41,10,19,2006,10,22,17.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,0.9099999999999966
George Washington University Battleground,1000,NA,49,41,9,24,2006,9,27,42.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,8,8.180000000000007,-5.090000000000003
NBC News/Wall Street Journal,1010,NA,48,39,10,8,2006,10,10,29,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
Cook Political Report/RT Strategies,1764,NA,49,37,10,19,2006,10,22,17.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,12,8.180000000000007,-5.090000000000003
CBS/New York Times,937.3615112,NA,49,35,10,5,2006,10,8,31.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,14,8.180000000000007,-5.090000000000003
NBC News/Wall Street Journal,1010,NA,48,37,11,4,2006,11,7,1.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-6.090000000000003
Diageo/Hotline,1000,NA,49,34,10,19,2006,10,23,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-5.090000000000003
Newsweek,1045,NA,47,42,9,29,2006,9,30,38.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,5,8.180000000000007,-7.090000000000003
CNN,934,NA,53,40,9,29,2006,10,2,37.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-1.0900000000000034
Newsweek,1205,NA,50,35,10,26,2006,10,27,11.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-4.090000000000003
CNN,636,NA,58,38,11,3,2006,11,5,3,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,20,8.180000000000007,3.9099999999999966
CNN,636,NA,58,37,10,6,2006,10,8,31,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,21,8.180000000000007,3.9099999999999966
CNN,934,NA,56,38,10,13,2006,10,15,24,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,1.9099999999999966
USA Today/Gallup,1362,NA,53,38,10,20,2006,10,22,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-1.0900000000000034
The Harris Poll,1000,NA,45,33,10,6,2006,10,9,30.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,12,8.180000000000007,-9.090000000000003
Associated Press/AOL News,1621,NA,54,37,10,20,2006,10,25,15.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,17,8.180000000000007,-0.09000000000000341
Reuters/Zogby America,1013,NA,44,33,10,20,2006,10,23,16.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-10.090000000000003
ABC News/Washington Post,1205,NA,54,41,10,5,2006,10,8,31.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-0.09000000000000341
Democracy Corps,1135,NA,46,41,10,5,2006,10,10,30.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,5,8.180000000000007,-8.090000000000003
The Harris Poll,1000,NA,46,31,10,20,2006,10,23,16.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-8.090000000000003
Democracy Corps,1135,NA,48,39,9,19,2006,9,21,48,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
NBC News/Wall Street Journal,1010,NA,52,37,10,13,2006,10,16,23.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,-2.0900000000000034
NBC News/Wall Street Journal,1010,NA,48,39,9,30,2006,10,2,37,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-6.090000000000003
Associated Press/AOL News,970,NA,55,37,10,20,2006,10,25,15.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,0.9099999999999966
NBC News/Wall Street Journal,1006,NA,48,37,11,4,2006,11,7,1.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-6.090000000000003
Reuters/Zogby America,1013,NA,42,33,9,22,2006,9,25,44.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,9,8.180000000000007,-12.090000000000003
Reuters/Zogby America,1013,NA,37,34,10,10,2006,10,12,27,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,3,8.180000000000007,-17.090000000000003
CNN,636,NA,53,42,10,27,2006,10,29,10,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,11,8.180000000000007,-1.0900000000000034
ABC News/Washington Post,1204,NA,59,36,10,5,2006,10,8,31.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,23,8.180000000000007,4.909999999999997
Diageo/Hotline,580,NA,52,34,10,19,2006,10,23,17,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,18,8.180000000000007,-2.0900000000000034
ABC News/Washington Post,1205,NA,51,45,11,1,2006,11,4,4.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,6,8.180000000000007,-3.0900000000000034
ABC News/Washington Post,1205,NA,54,41,10,19,2006,10,22,17.5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,13,8.180000000000007,-0.09000000000000341
Time,679,NA,55,40,11,1,2006,11,3,5,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,15,8.180000000000007,0.9099999999999966
Associated Press/AOL News,970,NA,51,41,10,2,2006,10,4,35,202,233,0,D,45.91,54.09,R,R,FALSE,45.91,11374.4,183.1999999999989,1.6370005003931487,midterm,10,8.180000000000007,-3.0900000000000034
ABC News/Wash Post,786,LV,45,49,10,25,2010,10,28,6.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-4,-6.939999999999998,-1.5300000000000011
ABC News/Wash Post,669,LV,43,49,9,30,2010,10,3,31.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-3.530000000000001
ABC News/Wash Post,1004,A,51,39,10,15,2010,10,18,16.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,12,-6.939999999999998,4.469999999999999
Associated Press/GfK,846,LV,43,50,10,13,2010,10,18,17.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-7,-6.939999999999998,-3.530000000000001
Bloomberg,1000,LV,44,47,10,24,2010,10,26,8,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-3,-6.939999999999998,-2.530000000000001
Bloomberg,721,LV,42,40,10,7,2010,10,10,24.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,2,-6.939999999999998,-4.530000000000001
CBS News,730.8165894,LV,37,45,10,1,2010,10,5,30,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-8,-6.939999999999998,-9.530000000000001
CBS News,922.375,RV,46,33,10,5,2010,10,8,26.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,13,-6.939999999999998,-0.5300000000000011
CBS News/NY Times,738.9607544,LV,43,49,10,21,2010,10,26,9.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-3.530000000000001
CNN/Opinion Research,542,LV,42,52,10,27,2010,10,30,4.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-10,-6.939999999999998,-4.530000000000001
CNN/Opinion Research,504,LV,45,52,10,5,2010,10,7,27,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-7,-6.939999999999998,-1.5300000000000011
CNN/Opinion Research,506,LV,44,53,9,21,2010,9,23,41,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-9,-6.939999999999998,-2.530000000000001
CNN/Opinion Research,952,RV,50,44,10,30,2010,11,1,2,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,6,-6.939999999999998,3.469999999999999
Democracy Corps (D),816,LV,43,49,10,2,2010,10,4,30,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-3.530000000000001
Democracy Corps (D),1044,LV,46,42,9,12,2010,9,16,49,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,4,-6.939999999999998,-0.5300000000000011
FOX News,764,LV,37,50,10,26,2010,10,28,6,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-13,-6.939999999999998,-9.530000000000001
FOX News,687,LV,39,48,10,11,2010,10,13,21,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-9,-6.939999999999998,-7.530000000000001
FOX News,900,RV,38,44,9,28,2010,9,29,34.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-8.530000000000001
FOX News,900,RV,40,46,9,14,2010,9,16,48,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-6.530000000000001
Gallup,1539,LV,40,55,10,28,2010,10,31,3.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-15,-6.939999999999998,-6.530000000000001
Gallup,3000,RV,46,46,9,20,2010,9,26,40,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,0,-6.939999999999998,-0.5300000000000011
Gallup,2925,RV,46,45,9,13,2010,9,19,47,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,1,-6.939999999999998,-0.5300000000000011
Gallup,906,RV,46,44,10,1,2010,10,4,30.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,2,-6.939999999999998,-0.5300000000000011
Gallup (LV Higher Turnout)*,1989,LV,43,52,10,14,2010,10,24,14,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-9,-6.939999999999998,-3.530000000000001
Gallup (LV Higher Turnout)*,1900,LV,42,53,10,7,2010,10,17,21,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-11,-6.939999999999998,-4.530000000000001
Gallup (LV Higher Turnout)*,1953,LV,41,53,9,30,2010,10,10,28,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-12,-6.939999999999998,-5.530000000000001
Gallup (LV Higher Turnout)*,1882,LV,40,53,9,23,2010,10,3,35,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-13,-6.939999999999998,-6.530000000000001
Gallup (LV Lower Turnout)*,1989,LV,41,55,10,14,2010,10,24,14,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-14,-6.939999999999998,-5.530000000000001
Gallup (LV Lower Turnout)*,1900,LV,39,56,10,7,2010,10,17,21,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-17,-6.939999999999998,-7.530000000000001
Gallup (LV Lower Turnout)*,1953,LV,39,56,9,30,2010,10,10,28,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-17,-6.939999999999998,-7.530000000000001
Gallup (LV Lower Turnout)*,1882,LV,38,56,9,23,2010,10,3,35,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-18,-6.939999999999998,-8.530000000000001
Ipsos/McClatchy,950,RV,46,45,10,29,2010,11,1,2.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,1,-6.939999999999998,-0.5300000000000011
McClatchy/Marist,350,LV,43,49,10,22,2010,10,25,9.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-3.530000000000001
McClatchy/Marist,815,RV,45,47,9,14,2010,9,16,48,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-2,-6.939999999999998,-1.5300000000000011
Newsweek,773,LV,48,45,10,20,2010,10,21,12.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,3,-6.939999999999998,1.4699999999999989
Newsweek,902,RV,48,43,9,29,2010,9,30,33.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,5,-6.939999999999998,1.4699999999999989
Pew Research,1809,LV,42,48,10,27,2010,10,30,4.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-4.530000000000001
Pew Research,1354,LV,40,50,10,13,2010,10,18,17.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-10,-6.939999999999998,-6.530000000000001
Politico/GWU/Battleground,1000,LV,42,47,10,17,2010,10,20,14.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-5,-6.939999999999998,-4.530000000000001
Politico/GWU/Battleground,1000,LV,42,47,9,19,2010,9,22,42.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-5,-6.939999999999998,-4.530000000000001
POS (R),800,LV,39,44,9,14,2010,9,16,48,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-5,-6.939999999999998,-7.530000000000001
PPP (D),766,RV,48,40,10,16,2010,10,19,15.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,8,-6.939999999999998,1.4699999999999989
Reuters/Ipsos,654,LV,44,50,10,28,2010,10,31,3.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-6,-6.939999999999998,-2.530000000000001
Reuters/Ipsos,720,LV,44,48,10,7,2010,10,11,24,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,-4,-6.939999999999998,-2.530000000000001
Reuters/Ipsos,993,RV,46,45,9,16,2010,9,19,45.5,242,193,0,R,53.47,46.53,D,D,FALSE,46.53,11942.2,201.20000000000073,1.7136530108168069,midterm,1,-6.939999999999998,-0.5300000000000011
Economist/YouGov,1363,LV,52,42,10,31,2020,11,2,3,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,10,3,0.5
NBC News/Wall St. Jrnl,1000,RV,48,43,10,29,2020,10,31,5,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,5,3,-3.5
Politico/Morning Consult,14663,LV,50,43,10,29,2020,10,31,5,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,7,3,-1.5
The Hill/HarrisX,2359,LV,47,42,10,25,2020,10,28,9,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,5,3,-4.5
Economist/YouGov,1365,LV,52,42,10,25,2020,10,27,9,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,10,3,0.5
USC Dornsife,5413,LV,53,45,10,20,2020,11,2,14,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,8,3,1.5
USA Today/Suffolk,1000,LV,49,39,10,23,2020,10,27,11,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,10,3,-2.5
CNN,886,LV,54,42,10,23,2020,10,26,11,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,12,3,2.5
Economist/YouGov,1344,LV,50,43,10,18,2020,10,20,16,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,7,3,-1.5
Economist/YouGov,1333,LV,49,41,10,11,2020,10,13,23,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,8,3,-2.5
NBC News/Wall St. Jrnl,1000,RV,49,42,10,9,2020,10,12,25,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,7,3,-2.5
Economist/YouGov,1350,LV,48,42,9,27,2020,9,30,37,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,6,3,-3.5
Monmouth,809,LV,50,44,9,24,2020,9,27,40,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,6,3,-1.5
Economist/YouGov,1124,LV,47,43,9,20,2020,9,22,44,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,4,3,-4.5
Politico/Morning Consult,1989,RV,47,41,9,18,2020,9,20,46,212,222,0,D,48.5,51.5,D,D,TRUE,51.5,15366.5,-1854.0999999999985,-10.766756094445018,pres,6,3,-4.5
NBC News/Wall St. Jrnl,774,LV,50,43,11,1,2018,11,3,5,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-4.350000000000001
CNN,1151,LV,55,42,11,1,2018,11,3,5,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,13,8.700000000000003,0.6499999999999986
ABC News/Wash Post,737,LV,52,44,10,29,2018,11,1,8,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,8,8.700000000000003,-2.3500000000000014
Rasmussen Reports,2500,LV,45,46,10,28,2018,11,1,9,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,-1,8.700000000000003,-9.350000000000001
IBD/TIPP,798,LV,50,41,10,25,2018,11,3,12,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,9,8.700000000000003,-4.350000000000001
Economist/YouGov,1296,RV,47,42,10,28,2018,10,30,9,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,5,8.700000000000003,-7.350000000000001
NPR/PBS/Marist,509,LV,52,43,10,28,2018,10,29,9,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,9,8.700000000000003,-2.3500000000000014
Harvard-Harris,1835,RV,47,38,10,26,2018,10,28,11,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,9,8.700000000000003,-7.350000000000001
Reuters/Ipsos,1383,LV,49,42,10,24,2018,10,30,13,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-5.350000000000001
Rasmussen Reports,2500,LV,47,44,10,21,2018,10,25,16,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,3,8.700000000000003,-7.350000000000001
Economist/YouGov,1233,RV,47,41,10,21,2018,10,23,16,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,6,8.700000000000003,-7.350000000000001
NPR/PBS/Marist,738,RV,50,40,10,21,2018,10,23,16,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,10,8.700000000000003,-4.350000000000001
Reuters/Ipsos,2062,LV,49,42,10,17,2018,10,23,20,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-5.350000000000001
USA Today/Suffolk,1000,LV,51,43,10,18,2018,10,22,19,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,8,8.700000000000003,-3.3500000000000014
Rasmussen Reports,2500,LV,47,44,10,14,2018,10,18,23,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,3,8.700000000000003,-7.350000000000001
NBC News/Wall St. Jrnl,645,LV,50,41,10,14,2018,10,17,23,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,9,8.700000000000003,-4.350000000000001
Economist/YouGov,1273,RV,46,41,10,14,2018,10,16,23,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,5,8.700000000000003,-8.350000000000001
FOX News,841,LV,49,42,10,13,2018,10,16,24,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,7,8.700000000000003,-5.350000000000001
Reuters/Ipsos,1194,LV,51,40,10,10,2018,10,16,27,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,11,8.700000000000003,-3.3500000000000014
ABC News/Wash Post,991,RV,53,42,10,8,2018,10,11,29,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,11,8.700000000000003,-1.3500000000000014
Rasmussen Reports,2500,LV,45,44,10,7,2018,10,11,30,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,1,8.700000000000003,-9.350000000000001
Economist/YouGov,1162,RV,47,41,10,7,2018,10,9,30,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,6,8.700000000000003,-7.350000000000001
Reuters/Ipsos,2012,LV,50,38,10,3,2018,10,9,34,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,12,8.700000000000003,-4.350000000000001
CNBC,800,A,42,36,10,4,2018,10,7,33,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,6,8.700000000000003,-12.350000000000001
CNN,739,LV,54,41,10,4,2018,10,7,33,199,235,0,D,45.65,54.35,R,R,FALSE,45.65,14688.9,217.39999999999964,1.502263068790377,midterm,13,8.700000000000003,-0.3500000000000014
